rating,tips,cat_name,cat_parent
6.2,Not quite Café Rouge...,Café,
6.1,Always busy so choosing a good time is the key. Good sized portions and great staff.,Café,
,,Café,
5.7,Love this place. Drop in for cheap bfast on way to work. Great service,Café,
7.9,Great strong tasty coffee and casual atmosphere. One of the few good cafés in Woolwich. Cakes looked delicious and brunch menu looks worth coming back for.,Café,
7.9,Best coffee for miles!,Café,
6.8,Any takeaway coffee you like is only a quid! and Bacon roll is same!,Café,
6.2,Gorgeous place! Just what we needed in Woolwich! Coffee is better and much cheaper than Starbucks! Pastries are great too. A winner!,Café,
,Capaccinos,Café,
,Kids meals include a drink and fruit,Café,
,A nice and honest little neighbourhood cafe with good grub.,Café,
,"Don't order anything with the baked beans, they're vile. Cheap and nasty. Won't be back.",Café,
,"great cafe, great food, you need to go there :)",Café,
,Great service and people,Café,
,,Café,
,,Café,
,,Café,
,St Bart’s Café } Community Ethos!,Café,
4.5,Good portobello egg breakfast muffin,Café,
5.6,"Very decent Turkish and Middle-eastern food at this family run restaurant. They even used to do English food, but stopped recently. Great place in Greenwich for a quick bite.",Café,
5.1,Try the breakfast or sheik kavab wrap. Also specials are a must. Mendu  vada is really good and not something you would find in many traditional Indian restaurants.,Café,
7.3,"Lovely place to pop in for a slice of cake and hot chocolate! Friendly staff, good facilities....",Café,
6.7,"Really great food for when you feel so hungover Sunday morning, this place is your only saviour. Fav dish is omelette that looks like a pizza.",Café,
7.9,Great strong tasty coffee and casual atmosphere. One of the few good cafés in Woolwich. Cakes looked delicious and brunch menu looks worth coming back for.,Café,
7.9,Best coffee for miles!,Café,
6.8,Any takeaway coffee you like is only a quid! and Bacon roll is same!,Café,
6.2,Gorgeous place! Just what we needed in Woolwich! Coffee is better and much cheaper than Starbucks! Pastries are great too. A winner!,Café,
,Capaccinos,Café,
,A nice and honest little neighbourhood cafe with good grub.,Café,
,"great cafe, great food, you need to go there :)",Café,
8.4,Unexpectedly delicious lamb curry with a nice fresh salad. Cozy local place,Café,
8.2,"Nice little place, amazing food! The chicken avocado salad is fantastic!",Café,
7.5,"Simply irresistible salads, quiches (contains dairy), veggie breakfast and cakes! This little cafe serves up awesome food. My favourite place in Blackheath.",Café,
7.1,"Good food , loads of choice from brekkie to a greek salad, good service. Seems really popular . Probably the nicest place in sidcup!",Café,
6.0,Food ok they forgot salad dressing. Waiting staff couldn't understand English. Nice place to sit outside in the summer.,Café,
7.4,"Very nice guys running this place, open late, great cappuccino, delicious food offer - try Bacon sandwich",Café,
6.5,"Great place. We had a goats cheese ciabatta and chicken, avocado and bacon sandwich and were incredible. The coffee was good too. Service was friendly.",Café,
8.9,"The only food place around the area that takes Amex! Great for meeting people for breakfast, lovely for evening drinks and snack food. Great local!",Café,
9.2,"One of my favourite places for coffee, brunch, lunch or even a snack! Always great food & great service. Menu changes quite often but recommend the breakfast focaccia and any of the cakes for afters!",Café,
7.0,"Great food, bargain prices, quick and friendly staff even when busy at lunchtime. Meat for hot sandwiches actually cooked opposed to microwaved! Top place :)",Café,
9.2,"Good chestnut and onion soup, although would have liked more onions, kippers with potato cakes were nice but I wish they served two eggs instead of one. Great place for brunch on a sunny day",Café,
5.1,"Incredibly family friendly with highchairs, kids' menu and plenty of space. Great coffee & chai teas. Take away available. My toddler loves the samosas (they're not spicy). Parent/baby room next door.",Café,
7.4,A sweet Turkish family restaurant cafe- the lentil soup is DIVINE,Café,
6.2,"Free wifi, just ask the barista. Also there is a row of stools with power sockets to the right of the bar.",Café,
8.7,"They serve beer from Kernel Brewery, and great coffee of course.",Café,
6.0,Feel like I'm either in a business class airport lounge or a cool university canteen... Not sure these are good things... Sandwiches are very expensive!,Café,
7.3,Loved the Eggs Royale with lime and spinach...one of the best I ve had in London,Café,
,Old Ford Lock can be found at the intersection of the road and the canal: go check it out!,Café,
8.8,Amazing! In the middle of the farm! Perfect for breakfast! Amazing food :),Café,
7.8,Must have coffee after/before visiting the farm.,Café,
7.5,The sun deck is a great place to stop off for good coffee on a bike ride between Central/East London and wonderful Epping Forest,Café,
8.2,"Just great. A tiny family run cafe with a very simple coffee,cafe, panini offer. In good weather the small garden at the back is a must.",Café,
7.6,Excellent coffee and a beautiful garden in the back!,Café,
8.7,"Proper coffee just off bow road. Lovely place with local art. Good coffee and AMAZING homemade sausage roll. If its nice weather, get take away cups and go to the memorial garden opposite.",Café,
7.8,This place is pretty special: a Mongolian tent with a wild garden where portions or marble cake bigger than your face are served.,Café,
7.0,"coffee, Italian music, great big sunny window to sit, little secret garden",Café,
